63846,Essex,Missouri,MO,Stoddard,36.8109,-89.8366,
63847,Gibson,Missouri,MO,Dunklin,36.4413,-90.0293,
63848,Gideon,Missouri,MO,New Madrid,36.4538,-89.9135,
63849,Gobler,Missouri,MO,Pemiscot,36.159,-89.9349,
63850,Grayridge,Missouri,MO,Stoddard,36.8283,-89.7565,
63851,Hayti,Missouri,MO,Pemiscot,36.2589,-89.7172,
63852,Holcomb,Missouri,MO,Dunklin,36.3885,-90.0208,
63853,Holland,Missouri,MO,Pemiscot,36.093,-89.8311,
63855,Hornersville,Missouri,MO,Dunklin,36.0627,-90.0816,
63857,Kennett,Missouri,MO,Dunklin,36.2407,-90.0491,
63860,Kewanee,Missouri,MO,New Madrid,36.6726,-89.5639,
63862,Lilbourn,Missouri,MO,New Madrid,36.5853,-89.6112,
63863,Malden,Missouri,MO,Dunklin,36.5672,-89.9737,
63866,Marston,Missouri,MO,New Madrid,36.5186,-89.6464,
63867,Matthews,Missouri,MO,New Madrid,36.7154,-89.6287,
63868,Morehouse,Missouri,MO,New Madrid,36.8504,-89.6847,
63869,New Madrid,Missouri,MO,New Madrid,36.6073,-89.5366,
63870,Parma,Missouri,MO,New Madrid,36.5856,-89.819,
63871,Pascola,Missouri,MO,Pemiscot,36.2678,-89.8225,
63873,Portageville,Missouri,MO,New Madrid,36.4279,-89.7002,
63874,Risco,Missouri,MO,New Madrid,36.6783,-89.77,
63875,Rives,Missouri,MO,Dunklin,36.3133,-90.1658,
63876,Senath,Missouri,MO,Dunklin,36.1324,-90.1632,
63877,Steele,Missouri,MO,Pemiscot,36.0915,-89.8346,
63878,Tallapoosa,Missouri,MO,New Madrid,36.503,-89.8224,
63879,Wardell,Missouri,MO,Pemiscot,36.3478,-89.8181,
63880,Whiteoak,Missouri,MO,Dunklin,36.3133,-90.1658,
63881,Wolf Island,Missouri,MO,Mississippi,36.7795,-89.2063,
63882,Wyatt,Missouri,MO,Mississippi,36.936,-89.2163,
63901,Poplar Bluff,Missouri,MO,Butler,36.7662,-90.4166,
63902,Poplar Bluff,Missouri,MO,Butler,36.7125,-90.407,
63931,Briar,Missouri,MO,Ripley,36.661,-90.8508,
63932,Broseley,Missouri,MO,Butler,36.6899,-90.2508,
63933,Campbell,Missouri,MO,Dunklin,36.5197,-90.0829,
63934,Clubb,Missouri,MO,Wayne,37.1196,-90.445,
63935,Doniphan,Missouri,MO,Ripley,36.6501,-90.8106,
63936,Dudley,Missouri,MO,Stoddard,36.811,-90.121,
63937,Ellsinore,Missouri,MO,Carter,36.9453,-90.7485,
63938,Fagus,Missouri,MO,Butler,36.7125,-90.407,
63939,Fairdealing,Missouri,MO,Ripley,36.6704,-90.6335,
63940,Fisk,Missouri,MO,Butler,36.7836,-90.2168,
63941,Fremont,Missouri,MO,Carter,36.9172,-91.144,
63942,Gatewood,Missouri,MO,Ripley,36.5626,-91.0703,
63943,Grandin,Missouri,MO,Carter,36.828,-90.7942,
63944,Greenville,Missouri,MO,Wayne,37.1108,-90.4514,
63945,Harviell,Missouri,MO,Butler,36.6723,-90.5583,
63947,Hiram,Missouri,MO,Wayne,37.2282,-90.2896,
63950,Lodi,Missouri,MO,Wayne,37.1196,-90.445,
63951,Lowndes,Missouri,MO,Wayne,37.1343,-90.2544,
63952,Mill Spring,Missouri,MO,Wayne,37.0675,-90.6746,
63953,Naylor,Missouri,MO,Ripley,36.5843,-90.6124,
63954,Neelyville,Missouri,MO,Butler,36.571,-90.4995,
63955,Oxly,Missouri,MO,Ripley,36.5874,-90.692,
63956,Patterson,Missouri,MO,Wayne,37.1196,-90.445,
63957,Piedmont,Missouri,MO,Wayne,37.1573,-90.699,
63960,Puxico,Missouri,MO,Stoddard,36.9422,-90.1623,
63961,Qulin,Missouri,MO,Butler,36.5818,-90.2617,
63962,Rombauer,Missouri,MO,Butler,36.7125,-90.407,
63963,Shook,Missouri,MO,Wayne,37.077,-90.3006,
63964,Silva,Missouri,MO,Wayne,37.2119,-90.4375,
63965,Van Buren,Missouri,MO,Carter,37.0015,-91.0007,
63966,Wappapello,Missouri,MO,Wayne,36.9766,-90.2848,
63967,Williamsville,Missouri,MO,Wayne,36.9638,-90.4879,
64001,Alma,Missouri,MO,Lafayette,39.1048,-93.5429,
64011,Bates City,Missouri,MO,Lafayette,39.0219,-94.0798,
64012,Belton,Missouri,MO,Cass,38.8161,-94.5328,
64013,Blue Springs,Missouri,MO,Jackson,38.9645,-94.3703,
64014,Blue Springs,Missouri,MO,Jackson,39.0152,-94.2604,
64015,Blue Springs,Missouri,MO,Jackson,39.015,-94.3118,
64016,Buckner,Missouri,MO,Jackson,39.1303,-94.2062,
64017,Camden,Missouri,MO,Ray,39.2048,-94.0259,
64018,Camden Point,Missouri,MO,Platte,39.4515,-94.7444,
64019,Centerview,Missouri,MO,Johnson,38.7897,-93.8702,
64020,Concordia,Missouri,MO,Lafayette,38.9776,-93.5812,
64021,Corder,Missouri,MO,Lafayette,39.1024,-93.6391,
64022,Dover,Missouri,MO,Lafayette,39.1926,-93.6684,
64024,Excelsior Springs,Missouri,MO,Clay,39.3326,-94.2746,
64028,Farley,Missouri,MO,Platte,39.2839,-94.8302,
64029,Grain Valley,Missouri,MO,Jackson,39.0274,-94.2087,
64030,Grandview,Missouri,MO,Jackson,38.8819,-94.5205,
64034,Greenwood,Missouri,MO,Jackson,38.8644,-94.2815,
64035,Hardin,Missouri,MO,Ray,39.3504,-93.8409,
64036,Henrietta,Missouri,MO,Ray,39.2367,-93.9369,
64037,Higginsville,Missouri,MO,Lafayette,39.0705,-93.7133,
64040,Holden,Missouri,MO,Johnson,38.7186,-93.9856,
64048,Holt,Missouri,MO,Clay,39.4289,-94.3689,
64050,Independence,Missouri,MO,Jackson,39.0983,-94.4111,
64051,Independence,Missouri,MO,Jackson,39.0804,-94.388,
64052,Independence,Missouri,MO,Jackson,39.075,-94.4499,
64053,Independence,Missouri,MO,Jackson,39.105,-94.4625,
64054,Independence,Missouri,MO,Jackson,39.11,-94.4401,
64055,Independence,Missouri,MO,Jackson,39.0545,-94.4039,
64056,Independence,Missouri,MO,Jackson,39.1177,-94.3596,
64057,Independence,Missouri,MO,Jackson,39.0731,-94.3533,
64058,Independence,Missouri,MO,Jackson,39.1412,-94.3515,
64060,Kearney,Missouri,MO,Clay,39.3652,-94.3621,
